Iteration,timestamp,event,time_s,cpu_before,cpu_after,mem_before,mem_after,client_ct_bytes,server_ct_bytes,total_packet_bytes
0,1764562454.7527382,server_kem_keygen,0.001536057,0.00,0.00,39694336,40382464,,800,800
0,1764562454.7991388,server_kem_keygen,0.000884103,0.00,0.00,39809024,40505344,,800,800
202,1764562478.9356265,kem_handshake,0.000018223|0.000015188|0.000032470,0.00,0.00,42831872,42831872,768,768,1536
203,1764562478.9366758,kem_handshake,0.000018344|0.000014798|0.000032621,0.00,0.00,42831872,42831872,768,768,1536
204,1764562478.9377334,kem_handshake,0.000018825|0.000015348|0.000032670,0.00,0.00,42831872,42831872,768,768,1536
205,1764562478.9388597,kem_handshake,0.000020378|0.000016460|0.000041247,0.00,0.00,42831872,42831872,768,768,1536
206,1764562478.9400325,kem_handshake,0.000019997|0.000015359|0.000032551,0.00,0.00,42831872,42831872,768,768,1536
207,1764562478.9416215,kem_handshake,0.000075650|0.000040555|0.000080929,0.00,0.00,42835968,42835968,768,768,1536
208,1764562478.9430416,kem_handshake,0.000043531|0.000030356|0.000063939,0.00,0.00,42831872,42831872,768,768,1536
209,1764562478.9444027,kem_handshake,0.000018294|0.000015048|0.000032620,0.00,0.00,42831872,42831872,768,768,1536
210,1764562478.9454603,kem_handshake,0.000018735|0.000014947|0.000032119,0.00,0.00,42831872,42831872,768,768,1536
211,1764562478.9465353,kem_handshake,0.000020137|0.000016621|0.000033552,0.00,0.00,42831872,42831872,768,768,1536
212,1764562478.9480813,kem_handshake,0.000023484|0.000015889|0.000041517,0.00,0.00,42831872,42831872,768,768,1536
213,1764562478.9491782,kem_handshake,0.000018444|0.000015228|0.000032580,0.00,0.00,42831872,42831872,768,768,1536
214,1764562478.950252,kem_handshake,0.000019216|0.000015729|0.000032651,0.00,0.00,42831872,42831872,768,768,1536
215,1764562478.9512973,kem_handshake,0.000018464|0.000015338|0.000032520,0.00,0.00,42831872,42831872,768,768,1536
216,1764562478.9523437,kem_handshake,0.000018564|0.000015348|0.000032530,0.00,0.00,42831872,42831872,768,768,1536
217,1764562478.9533932,kem_handshake,0.000019036|0.000015168|0.000033061,0.00,0.00,42831872,42831872,768,768,1536
218,1764562478.9544764,kem_handshake,0.000017993|0.000015158|0.000031999,0.00,0.00,42831872,42831872,768,768,1536
219,1764562478.955634,kem_handshake,0.000022100|0.000019285|0.000049712,0.00,0.00,42831872,42831872,768,768,1536
220,1764562478.9567766,kem_handshake,0.000019316|0.000016160|0.000032250,0.00,0.00,42831872,42831872,768,768,1536
221,1764562478.9578228,kem_handshake,0.000018945|0.000015589|0.000032520,0.00,0.00,42831872,42831872,768,768,1536
222,1764562478.958907,kem_handshake,0.000019035|0.000015318|0.000032610,0.00,0.00,42831872,42831872,768,768,1536
223,1764562478.9599657,kem_handshake,0.000019146|0.000015809|0.000032781,0.00,0.00,42831872,42831872,768,768,1536
224,1764562478.9609973,kem_handshake,0.000018013|0.000015158|0.000032650,0.00,0.00,42831872,42831872,768,768,1536
225,1764562478.9620354,kem_handshake,0.000018485|0.000015038|0.000032790,0.00,0.00,42831872,42831872,768,768,1536
226,1764562478.9631422,kem_handshake,0.000018374|0.000015309|0.000032490,0.00,0.00,42831872,42831872,768,768,1536
227,1764562478.964352,kem_handshake,0.000019917|0.000015498|0.000033192,0.00,0.00,42831872,42831872,768,768,1536
