Iteration,timestamp,client_keygen_s,client_enc_s,client_dec_s,server_enc_s,server_dec_s,server_sign_s,final_key_hex
71,1764450473.4521127,0.000028713,0.000015929,0.000053559,0.000054761,0.000058498,0.000074137,428617fa47f8973230d8781342c573c0c39caceabc2c3c1864166ebdfda02424
72,1764450473.4544008,0.000034093,0.000017392,0.000033311,0.000053710,0.000048840,0.000097981,af6bd62bdd7aa2a465899a210a0e2cfe26f724c66fb5f659a707c80911326da6
73,1764450473.457047,0.000031959,0.000018644,0.000045564,0.000064038,0.000065961,0.000172188,bd07a48d446e6cb23887917527db6e0708a98ff688f7de0a0abe2974db55975d
74,1764450473.4596748,0.000027992,0.000016000,0.000034052,0.000063828,0.000061524,0.000117837,9940d2b0ceb55eae4926a37f9cde2b52af94c80a7dd0e66c210fa4c07a3dda62
75,1764450473.4627278,0.000028392,0.000016421,0.000062525,0.000056635,0.000054942,0.000082943,550400ef6656a7b8cfb01820fa590c7b25b6b65c02fbb90b9d9b8e1929e9e2de
76,1764450473.46548,0.000039122,0.000019196,0.000038571,0.000057546,0.000082262,0.000091278,90b033778121bdacbfebd7f873f457a6e86d4d48428ce5020948b3fc8359862f
77,1764450473.4675124,0.000029925,0.000016611,0.000022562,0.000051425,0.000048089,0.000040294,34646b1f71787b8a0dd959158809df3c36d17291610bff5ee87c243d70d7ec3c
78,1764450473.4700687,0.000021540,0.000015589,0.000075028,0.000068165,0.000075329,0.000111787,f2f534851192e00c570de03e99a7b15eddb7ee0d3b2a75c765a140a67dc86b24
79,1764450473.4730191,0.000044703,0.000020217,0.000048950,0.000074027,0.000073115,0.000122767,cb1694d46e8ba703d6761bf7473cb6e9a0eaa2c57cfa1e68993dbb673abd75e3
80,1764450473.4753928,0.000059941,0.000035726,0.000022962,0.000036888,0.000042990,0.000056073,1a828fdc3a927a290deacc47d02d3e65cd19c7553b775fce98209ca741446aac
81,1764450473.477502,0.000022572,0.000015338,0.000042468,0.000034383,0.000047508,0.000063628,af700fc2f4b039e76a8967d053ee9c60a0f4bd1d56e42475245e17265d0053a4
82,1764450473.4804244,0.000030096,0.000017412,0.000054701,0.000091589,0.000099203,0.000107479,cb581bdeca11b5d37e953a442fc29b795c81c51656818d4908f0fae2f8626507
83,1764450473.4839654,0.000032340,0.000017342,0.000060903,0.000090617,0.000109702,0.000123679,191b61029edcb2357816e0588182a7fff76dc6d1f3fbe437481b61464a5c4a8a
84,1764450473.4862552,0.000038020,0.000018164,0.000034664,0.000042819,0.000055292,0.000066272,48033cd5ff0f368b3e561f24d35336d576bb34e946a5d90d7ad25a7c7ffa7ade
85,1764450473.4895475,0.000037419,0.000020348,0.000060852,0.000099334,0.000075900,0.000142724,5847a460271274cdf18314dfd310690b20333c010384fd8801120be18a6dc032
86,1764450473.4922876,0.000038141,0.000020708,0.000028754,0.000061023,0.000063678,0.000083594,12c7681b00cb964604a06ad2d3d61cfd6eb1ffccba32779981c4c07e4a35cbd6
87,1764450473.495081,0.000042468,0.000031559,0.000042839,0.000042428,0.000050614,0.000075669,fb7dba9542096b43caf08b192c6ccf0473e955673395a1cb24d139541096fe0b
88,1764450473.4983838,0.000047829,0.000021490,0.000058598,0.000045565,0.000062506,0.000072274,6eb5138eaca7ab48bc8e1b15e498e937dad41bb0aff9f6eb7249245041ad6859
89,1764450473.501391,0.000040735,0.000027991,0.000041076,0.000092100,0.000096999,0.000137263,2da2f033a089a93e9438f8780ff637fc86fd5211aab8e55553c965a0406c7c04
90,1764450473.5040362,0.000037389,0.000020147,0.000051706,0.000049731,0.000051685,0.000056404,1f7712de3befddaf5333f06becf2e9419666c433058fddc51f374227adfa5426
91,1764450473.5074615,0.000043280,0.000028693,0.000064118,0.000073425,0.000068657,0.000113390,5ce767c2d8871e2cdffb20e7f76264cdff6c1ee1d035001d0568fb3acaf18228
92,1764450473.510762,0.000045574,0.000020848,0.000039132,0.000061644,0.000061433,0.000088383,7a61e9492e56cdeeb264c2d56f8de4354169b0c181d83d5040a555c2bb2ac0c4
93,1764450473.5145462,0.000029965,0.000016631,0.000070360,0.000080308,0.000165877,0.000125963,202b3b098468ca241a9a420fa081a37f820f8570c50d954b26ca2912567110ba
94,1764450473.5172002,0.000043210,0.000019847,0.000035025,0.000039082,0.000048299,0.000054521,e1f3339491ad7a18d96f4da9b458927c628b5b1f4dcf95178075545dc6f8972b
95,1764450473.5195177,0.000034003,0.000024726,0.000034654,0.000063297,0.000071232,0.000103842,a26ee2c5a2168a3fb27b4b39cba606f65e2bfc6888dd028dcbd50821aea866d8
96,1764450473.5218098,0.000026349,0.000016631,0.000031969,0.000051706,0.000064649,0.000087621,f70cdbcd9ff611b929ab5330f04aab9f940a2ccb1eb6b5e2beb0ec697877c279
97,1764450473.5239809,0.000029234,0.000016911,0.000028402,0.000036968,0.000044933,0.000051625,1e7cf846629bc813510f4785c45c94512d825eb5030d8aeaca16d01282980b57
