Iteration,timestamp,event,time_s,cpu_before,cpu_after,mem_before,mem_after,ciphertext_bytes
128,1764450494.4582627,rsa_handshake,0.000426617|0.000095095,0.00,1668.30,44400640,44400640,512
129,1764450494.5172017,rsa_handshake,0.000489655|0.000038241,0.00,0.00,44400640,44400640,512
130,1764450494.5568266,rsa_handshake,0.000444931|0.000094855,0.00,0.00,44400640,44400640,512
131,1764450494.583918,rsa_handshake,0.000437878|0.000114661,0.00,0.00,44400640,44400640,512
132,1764450494.688111,rsa_handshake,0.000528115|0.000101428,0.00,0.00,44400640,44400640,512
133,1764450494.732004,rsa_handshake,0.000464036|0.000101858,0.00,0.00,44400640,44400640,512
134,1764450494.7531302,rsa_handshake,0.000422570|0.000056334,0.00,0.00,44400640,44400640,512
135,1764450494.768545,rsa_handshake,0.000442748|0.000077443,0.00,0.00,44400640,44400640,512
136,1764450494.786346,rsa_handshake,0.000436746|0.000085507,0.00,0.00,44400640,44400640,512
137,1764450494.8142738,rsa_handshake,0.000348172|0.000056234,0.00,0.00,44400640,44400640,512
138,1764450494.8340683,rsa_handshake,0.000427178|0.000084065,0.00,0.00,44400640,44400640,512
139,1764450494.8657095,rsa_handshake,0.000542792|0.000104914,0.00,1341.80,44400640,44400640,512
140,1764450494.90266,rsa_handshake,0.000438710|0.000085739,0.00,0.00,44404736,44404736,512
141,1764450494.923181,rsa_handshake,0.000444360|0.000100115,0.00,0.00,44404736,44404736,512
142,1764450494.9686928,rsa_handshake,0.000432789|0.000083494,0.00,0.00,44404736,44404736,512
143,1764450495.0135667,rsa_handshake,0.000255332|0.000049893,0.00,0.00,44404736,44404736,512
144,1764450495.0618665,rsa_handshake,0.000231147|0.000050123,0.00,0.00,44404736,44404736,512
145,1764450495.0900931,rsa_handshake,0.000551428|0.000111456,0.00,0.00,44404736,44404736,512
146,1764450495.164512,rsa_handshake,0.000439842|0.000087512,0.00,1641.20,44404736,44404736,512
147,1764450495.2142432,rsa_handshake,0.000256523|0.000066613,0.00,0.00,44404736,44404736,512
148,1764450495.3009727,rsa_handshake,0.000255732|0.000057136,0.00,0.00,44404736,44404736,512
149,1764450495.3418756,rsa_handshake,0.000226889|0.000047689,0.00,0.00,44404736,44404736,512
150,1764450495.3674302,rsa_handshake,0.000397744|0.000052236,0.00,0.00,44404736,44404736,512
151,1764450495.385004,rsa_handshake,0.000423111|0.000086309,0.00,1689.40,44408832,44408832,512
152,1764450495.4323251,rsa_handshake,0.000384981|0.000060191,0.00,0.00,44408832,44408832,512
153,1764450495.5842383,rsa_handshake,0.000429633|0.000110143,0.00,0.00,44408832,44408832,512
154,1764450495.6457827,rsa_handshake,0.000489634|0.000094785,0.00,0.00,44408832,44408832,512
155,1764450495.659717,rsa_handshake,0.000294814|0.000069348,0.00,0.00,44408832,44408832,512
156,1764450495.6847885,rsa_handshake,0.000441596|0.000105906,0.00,1577.60,44408832,44408832,512
157,1764450495.7087672,rsa_handshake,0.000266833|0.000064700,0.00,0.00,44408832,44408832,512
158,1764450495.755274,rsa_handshake,0.000293792|0.000079216,0.00,0.00,44408832,44408832,512
159,1764450495.7885506,rsa_handshake,0.000454199|0.000051996,0.00,0.00,44408832,44408832,512
160,1764450495.8325489,rsa_handshake,0.000432829|0.000084466,0.00,0.00,44408832,44408832,512
161,1764450495.8523796,rsa_handshake,0.000748652|0.000039683,0.00,0.00,44408832,44408832,512
