Iteration,timestamp,event,time_s,cpu_before,cpu_after,mem_before,mem_after,client_ct_bytes,server_ct_bytes,total_packet_bytes
0,1764562564.604958,server_kem_keygen,0.001171324,0.00,0.00,39895040,40591360,,800,800
170,1764562605.2035465,kem_handshake,0.000019556|0.000015519|0.000032650,0.00,0.00,42995712,42995712,768,768,1536
171,1764562605.2045956,kem_handshake,0.000018324|0.000015378|0.000032611,0.00,0.00,42995712,42999808,768,768,1536
172,1764562605.2056575,kem_handshake,0.000019015|0.000015960|0.000032150,0.00,0.00,42999808,42999808,768,768,1536
173,1764562605.2067606,kem_handshake,0.000018544|0.000015549|0.000032260,0.00,0.00,42999808,42999808,768,768,1536
174,1764562605.2078512,kem_handshake,0.000019716|0.000016140|0.000037980,0.00,0.00,43003904,43003904,768,768,1536
175,1764562605.2089708,kem_handshake,0.000020898|0.000029785|0.000032540,0.00,0.00,43003904,43003904,768,768,1536
176,1764562605.210187,kem_handshake,0.000027772|0.000018003|0.000049060,0.00,0.00,43003904,43003904,768,768,1536
177,1764562605.211416,kem_handshake,0.000023082|0.000018313|0.000040665,0.00,0.00,43003904,43003904,768,768,1536
178,1764562605.2126226,kem_handshake,0.000023133|0.000017653|0.000039823,0.00,0.00,43003904,43003904,768,768,1536
179,1764562605.2137418,kem_handshake,0.000018654|0.000015669|0.000032700,0.00,0.00,43003904,43003904,768,768,1536
180,1764562605.2148001,kem_handshake,0.000018835|0.000015339|0.000032600,0.00,0.00,43003904,43003904,768,768,1536
181,1764562605.215962,kem_handshake,0.000030216|0.000020628|0.000038070,0.00,0.00,43008000,43008000,768,768,1536
182,1764562605.217069,kem_handshake,0.000019366|0.000015529|0.000032370,0.00,0.00,43008000,43008000,768,768,1536
183,1764562605.2183561,kem_handshake,0.000060973|0.000022551|0.000035856,0.00,0.00,43008000,43008000,768,768,1536
184,1764562605.2197025,kem_handshake,0.000020348|0.000015779|0.000035456,0.00,0.00,43008000,43008000,768,768,1536
185,1764562605.220799,kem_handshake,0.000018624|0.000015469|0.000032661,0.00,0.00,43008000,43008000,768,768,1536
186,1764562605.221924,kem_handshake,0.000019496|0.000021930|0.000032841,0.00,0.00,43008000,43008000,768,768,1536
187,1764562605.2230191,kem_handshake,0.000019236|0.000015789|0.000032651,0.00,0.00,43008000,43008000,768,768,1536
188,1764562605.2240806,kem_handshake,0.000018905|0.000015128|0.000032981,0.00,0.00,43008000,43008000,768,768,1536
189,1764562605.2251656,kem_handshake,0.000019986|0.000015959|0.000032891,0.00,14478.50,43008000,43008000,768,768,1536
190,1764562605.2263277,kem_handshake,0.000024676|0.000020818|0.000041647,0.00,0.00,43008000,43008000,768,768,1536
191,1764562605.2275436,kem_handshake,0.000022171|0.000017412|0.000035997,0.00,0.00,43008000,43008000,768,768,1536
192,1764562605.2286115,kem_handshake,0.000018945|0.000015639|0.000032560,0.00,0.00,43008000,43008000,768,768,1536
193,1764562605.2296767,kem_handshake,0.000018965|0.000015428|0.000032561,0.00,0.00,43008000,43008000,768,768,1536
194,1764562605.230738,kem_handshake,0.000018244|0.000015128|0.000032540,0.00,0.00,43008000,43008000,768,768,1536
195,1764562605.231805,kem_handshake,0.000017923|0.000015168|0.000032610,0.00,0.00,43008000,43008000,768,768,1536
196,1764562605.2329412,kem_handshake,0.000025908|0.000016190|0.000032701,0.00,0.00,43008000,43008000,768,768,1536
