Iteration,timestamp,client_keygen_s,client_enc_s,client_dec_s,server_enc_s,server_dec_s,ciphertext_bytes
101,1764562629.0889094,0.016391555,0.000061033,0.000463546,0.000039152,0.000244291,512
102,1764562629.1156588,0.024209930,0.000063537,0.000450863,0.000034082,0.000220006,512
103,1764562629.1646163,0.045888662,0.000068436,0.000440073,0.000038601,0.000246716,512
104,1764562629.2016456,0.034516892,0.000049551,0.000441656,0.000034053,0.000233572,512
105,1764562629.2795541,0.074675758,0.000071883,0.000454460,0.000037850,0.000237158,512
106,1764562629.3086843,0.026708816,0.000047899,0.000436757,0.000033622,0.000219876,512
107,1764562629.3721728,0.060196878,0.000085358,0.000448108,0.000036898,0.000238801,512
108,1764562629.3961973,0.020084617,0.000077513,0.000496768,0.000044743,0.000271972,512
109,1764562629.4479625,0.047893727,0.000102179,0.000459910,0.000041697,0.000266712,512
110,1764562629.5039392,0.051884099,0.000130461,0.000469297,0.000041546,0.000244652,512
111,1764562629.5359154,0.028878474,0.000077904,0.000453838,0.000058548,0.000289455,512
112,1764562629.5540156,0.015622503,0.000046145,0.000445122,0.000036147,0.000232509,512
113,1764562629.5713527,0.013688029,0.000048710,0.001087709,0.000033952,0.000226248,512
114,1764562629.6146762,0.039414450,0.000085929,0.000898700,0.000078585,0.000539076,512
115,1764562629.6299787,0.011334461,0.000049231,0.000451774,0.000077854,0.000538745,512
116,1764562629.6707368,0.037339217,0.000071692,0.000451775,0.000042028,0.000470128,512
117,1764562629.6851113,0.011100870,0.000041857,0.000445954,0.000078054,0.000516163,512
118,1764562629.7282119,0.039866095,0.000047849,0.000442908,0.000033752,0.000484576,512
119,1764562629.774976,0.043343169,0.000053258,0.000450362,0.000080750,0.000547502,512
120,1764562629.78695,0.008700104,0.000051976,0.000447126,0.000037800,0.000245013,512
121,1764562629.8275328,0.037092510,0.000054331,0.000858045,0.000042689,0.000297991,512
122,1764562629.862477,0.032170577,0.000052147,0.000434082,0.000035475,0.000228572,512
123,1764562629.8744602,0.009474084,0.000042018,0.000434303,0.000062175,0.000409025,512
124,1764562629.9300601,0.052162974,0.000108801,0.000462754,0.000036287,0.000262705,512
125,1764562629.9600556,0.026574188,0.000062696,0.000465410,0.000067895,0.000423763,512
126,1764562630.0201743,0.055983764,0.000145799,0.000476139,0.000037099,0.000386914,512
127,1764562630.049821,0.026791790,0.000048099,0.000457655,0.000086219,0.000432970,512
128,1764562630.115131,0.061449382,0.000102490,0.000597985,0.000040635,0.000327075,512
129,1764562630.147598,0.028924069,0.000065852,0.000614365,0.000032530,0.000487831,512
130,1764562630.202812,0.051082167,0.000066342,0.000670438,0.000068667,0.000505584,512
131,1764562630.298504,0.092090934,0.000080829,0.000456143,0.000035706,0.000414286,512
132,1764562630.3185198,0.016892269,0.000046937,0.000455021,0.000082643,0.000433812,512
133,1764562630.342237,0.020440525,0.000048720,0.000768119,0.000065611,0.000416409,512
134,1764562630.3663862,0.020924059,0.000060251,0.000449040,0.000063688,0.000424434,512
135,1764562630.3884826,0.018328453,0.000045564,0.001041004,0.000067454,0.000433881,512
136,1764562630.4086955,0.017508819,0.000051746,0.000434984,0.000036087,0.000414465,512
137,1764562630.4495733,0.037261302,0.000116035,0.000441847,0.000036046,0.000360295,512
138,1764562630.4712803,0.017716011,0.000072594,0.000465770,0.000047087,0.000471351,512
139,1764562630.5011456,0.026861809,0.000054170,0.000447567,0.000038862,0.000449911,512
140,1764562630.5364664,0.031280232,0.000065521,0.000720261,0.000076722,0.000459519,512
141,1764562630.587893,0.047520577,0.000079306,0.000462244,0.000038190,0.000259349,512
142,1764562630.638221,0.046732641,0.000082392,0.000521213,0.000041146,0.000280248,512
143,1764562630.6647637,0.022088910,0.000071322,0.000585913,0.000095557,0.000608224,512
144,1764562630.6958883,0.027895649,0.000114020,0.000569532,0.000038682,0.000233171,512
145,1764562630.7128925,0.013817960,0.000081962,0.000680327,0.000064930,0.000338615,512
146,1764562630.7409425,0.024962470,0.000082162,0.000442478,0.000063708,0.000430535,512
147,1764562630.774789,0.030537410,0.000061754,0.000439452,0.000035075,0.000334127,512
148,1764562630.8169482,0.038715409,0.000065952,0.000453408,0.000062646,0.000378169,512
149,1764562630.850463,0.030368587,0.000063267,0.000448308,0.000034624,0.000433170,512
150,1764562630.8784235,0.024482072,0.000056575,0.000677051,0.000038011,0.000255272,512
151,1764562630.8982413,0.016421049,0.000063388,0.000441747,0.000042268,0.000429463,512
152,1764562630.9251363,0.023403349,0.000071252,0.000611199,0.000038251,0.000423893,512
153,1764562630.9498136,0.020766007,0.000057026,0.001017149,0.000059470,0.000354865,512
154,1764562630.9784958,0.024402314,0.000063558,0.000950957,0.000039934,0.000346460,512
155,1764562630.998182,0.015671824,0.000045033,0.000897208,0.000075660,0.000494453,512
156,1764562631.0171578,0.015223837,0.000047448,0.001073083,0.000067324,0.000438951,512
157,1764562631.0701718,0.049106427,0.000081331,0.000463767,0.000042619,0.000323738,512
158,1764562631.0951147,0.021913697,0.000064129,0.000451525,0.000036267,0.000253518,512
159,1764562631.1229184,0.023444686,0.000060051,0.001026546,0.000068226,0.000458076,512
160,1764562631.1452425,0.018891193,0.000044162,0.000672101,0.000059159,0.000273906,512
161,1764562631.166193,0.018039790,0.000065741,0.000443790,0.000033171,0.000441506,512
162,1764562631.198557,0.028811942,0.000112929,0.000442818,0.000036177,0.000270009,512
163,1764562631.2105055,0.009425995,0.000043550,0.000495806,0.000037229,0.000238090,512
164,1764562631.2340431,0.021141551,0.000047328,0.000448198,0.000034544,0.000236937,512
165,1764562631.2540388,0.017377446,0.000049592,0.000446404,0.000035025,0.000220908,512
166,1764562631.3218877,0.064618527,0.000165706,0.000453548,0.000037759,0.000231658,512
167,1764562631.340747,0.016019237,0.000057095,0.000440504,0.000064489,0.000420287,512
168,1764562631.3515801,0.007995543,0.000042308,0.000446485,0.000063387,0.000414415,512
169,1764562631.4029925,0.047880462,0.000096749,0.000469477,0.000051855,0.000231447,512
170,1764562631.4505436,0.044562101,0.000084125,0.000479546,0.000036347,0.000249241,512
171,1764562631.474597,0.020231800,0.000139097,0.000488733,0.000036477,0.000230657,512
172,1764562631.4967544,0.017695103,0.000096839,0.000873765,0.000041807,0.000337223,512
173,1764562631.5174453,0.017503208,0.000046325,0.000440153,0.000084195,0.000529438,512
174,1764562631.5329869,0.012467104,0.000050353,0.000442858,0.000032720,0.000524288,512
175,1764562631.5633562,0.026182123,0.000089896,0.000900183,0.000079397,0.000519560,512
176,1764562631.589481,0.023357885,0.000054691,0.000434983,0.000032470,0.000274377,512
177,1764562631.6146748,0.022092828,0.000056734,0.000439702,0.000032530,0.000496738,512
178,1764562631.6462033,0.027405493,0.000048089,0.000847275,0.000080439,0.000539917,512
179,1764562631.7038429,0.053404828,0.000075669,0.000785832,0.000066393,0.000436205,512
180,1764562631.7881913,0.079963728,0.000074778,0.000774641,0.000037009,0.000241105,512
181,1764562631.8306186,0.038832194,0.000066743,0.000446515,0.000070561,0.000457526,512
182,1764562631.891525,0.057288865,0.000085358,0.000838569,0.000091058,0.000329960,512
183,1764562631.9612353,0.066008895,0.000119120,0.000463176,0.000047457,0.000257376,512
184,1764562632.014726,0.049264419,0.000066092,0.000737572,0.000083364,0.000570905,512
185,1764562632.0255117,0.006652661,0.000054691,0.000903489,0.000078575,0.000512316,512
186,1764562632.0392768,0.010427715,0.000062134,0.000454690,0.000063357,0.000438090,512
187,1764562632.0576456,0.014636863,0.000043690,0.001059818,0.000077262,0.000510503,512
188,1764562632.0848267,0.023672897,0.000079887,0.000469548,0.000065602,0.000443249,512
189,1764562632.1572216,0.068528991,0.000104593,0.000447116,0.000035606,0.000317487,512
190,1764562632.1781113,0.017988324,0.000048530,0.000475489,0.000037990,0.000239373,512
191,1764562632.2104523,0.028726494,0.000051895,0.000653678,0.000039693,0.000376576,512
192,1764562632.2377822,0.024143456,0.000067525,0.000480668,0.000038812,0.000246696,512
193,1764562632.2963333,0.055139864,0.000071552,0.000461613,0.000033151,0.000441977,512
194,1764562632.3557835,0.055759389,0.000062576,0.000762698,0.000041387,0.000269207,512
195,1764562632.3687267,0.009518216,0.000055523,0.000437819,0.000039823,0.000243069,512
196,1764562632.3824298,0.010537398,0.000045314,0.000434894,0.000077593,0.000525270,512
197,1764562632.4273403,0.040785283,0.000093282,0.000464789,0.000062766,0.000550838,512
198,1764562632.4702601,0.038976632,0.000066323,0.000495986,0.000061553,0.000283344,512
199,1764562632.51714,0.043787670,0.000076381,0.000457435,0.000035215,0.000238521,512
200,1764562632.5417984,0.022123605,0.000050103,0.000442999,0.000037059,0.000226238,512
201,1764562632.602439,0.057744387,0.000081640,0.000456153,0.000050964,0.000234824,512
202,1764562632.6212373,0.015403840,0.000132074,0.000465390,0.000039643,0.000266542,512
203,1764562632.6496475,0.025855920,0.000054811,0.000447517,0.000034223,0.000225657,512
204,1764562632.694342,0.041474937,0.000085298,0.000456814,0.000035606,0.000253328,512
205,1764562632.747883,0.049512127,0.000066763,0.000776575,0.000079497,0.000542552,512
206,1764562632.7835932,0.032620218,0.000058378,0.000436938,0.000065091,0.000431808,512
207,1764562632.8459105,0.058486998,0.000066523,0.000460711,0.000072815,0.000471772,512
208,1764562632.877923,0.027930703,0.000049051,0.000850972,0.000041737,0.000400099,512
209,1764562632.894244,0.012370575,0.000040464,0.000815967,0.000080970,0.000511314,512
210,1764562632.9507873,0.052104637,0.000094144,0.000920701,0.000074347,0.000455301,512
211,1764562632.9758997,0.021939835,0.000068687,0.000543474,0.000034063,0.000232449,512
212,1764562633.0034883,0.023409791,0.000062055,0.000751679,0.000081550,0.000539146,512
213,1764562633.0224066,0.015595674,0.000054871,0.000444882,0.000038451,0.000480417,512
214,1764562633.0811021,0.055135185,0.000064309,0.000441656,0.000042549,0.000535890,512
215,1764562633.1303217,0.046179650,0.000066302,0.000438120,0.000033942,0.000340609,512
216,1764562633.2267585,0.092204714,0.000078334,0.000880497,0.000073986,0.000426358,512
217,1764562633.2831929,0.051739411,0.000097611,0.000683553,0.000085308,0.000550517,512
218,1764562633.312368,0.025197363,0.000077323,0.000870128,0.000068406,0.000301617,512
219,1764562633.328681,0.012994097,0.000074748,0.000467764,0.000037058,0.000233311,512
220,1764562633.383697,0.051107414,0.000130621,0.000466822,0.000040756,0.000428161,512
221,1764562633.402951,0.015951592,0.000102509,0.000491278,0.000035034,0.000225557,512
222,1764562633.4658456,0.058690825,0.000115122,0.000754684,0.000035816,0.000248970,512
223,1764562633.564214,0.093933257,0.000096178,0.000762459,0.000043581,0.000279135,512
