Iteration,timestamp,event,time_s,cpu_before,cpu_after,mem_before,mem_after,ciphertext_bytes
0,1764562564.6322927,server_rsa_keygen,0.023671224,0.00,84.10,42201088,42291200,
108,1764562629.3948646,rsa_handshake,0.000271972|0.000044743,0.00,0.00,43696128,43696128,512
109,1764562629.4469228,rsa_handshake,0.000266712|0.000041697,0.00,0.00,43696128,43696128,512
110,1764562629.5027013,rsa_handshake,0.000244652|0.000041546,0.00,0.00,43696128,43696128,512
111,1764562629.5347629,rsa_handshake,0.000289455|0.000058548,0.00,2537.30,43696128,43696128,512
112,1764562629.5530603,rsa_handshake,0.000232509|0.000036147,0.00,0.00,43696128,43696128,512
113,1764562629.5695543,rsa_handshake,0.000226248|0.000033952,0.00,0.00,43696128,43696128,512
114,1764562629.613316,rsa_handshake,0.000539076|0.000078585,0.00,0.00,43696128,43696128,512
115,1764562629.6288826,rsa_handshake,0.000538745|0.000077854,0.00,0.00,43696128,43696128,512
116,1764562629.6697261,rsa_handshake,0.000470128|0.000042028,0.00,0.00,43696128,43696128,512
117,1764562629.6839628,rsa_handshake,0.000516163|0.000078054,0.00,0.00,43696128,43696128,512
118,1764562629.7273257,rsa_handshake,0.000484576|0.000033752,0.00,1664.40,43696128,43696128,512
119,1764562629.7740505,rsa_handshake,0.000547502|0.000080750,0.00,0.00,43696128,43696128,512
120,1764562629.7857401,rsa_handshake,0.000245013|0.000037800,0.00,0.00,43696128,43696128,512
121,1764562629.825962,rsa_handshake,0.000297991|0.000042689,0.00,0.00,43696128,43696128,512
122,1764562629.8615146,rsa_handshake,0.000228572|0.000035475,0.00,0.00,43696128,43696128,512
123,1764562629.8736603,rsa_handshake,0.000409025|0.000062175,0.00,0.00,43696128,43696128,512
124,1764562629.9290557,rsa_handshake,0.000262705|0.000036287,0.00,0.00,43696128,43696128,512
125,1764562629.9589,rsa_handshake,0.000423763|0.000067895,0.00,0.00,43696128,43696128,512
126,1764562630.0189674,rsa_handshake,0.000386914|0.000037099,0.00,0.00,43696128,43696128,512
127,1764562630.0489204,rsa_handshake,0.000432970|0.000086219,0.00,0.00,43696128,43696128,512
128,1764562630.1139197,rsa_handshake,0.000327075|0.000040635,0.00,0.00,43696128,43696128,512
129,1764562630.146481,rsa_handshake,0.000487831|0.000032530,0.00,0.00,43696128,43696128,512
130,1764562630.2014732,rsa_handshake,0.000505584|0.000068667,0.00,0.00,43696128,43696128,512
131,1764562630.2973652,rsa_handshake,0.000414286|0.000035706,0.00,0.00,43696128,43696128,512
132,1764562630.3173666,rsa_handshake,0.000433812|0.000082643,0.00,0.00,43696128,43696128,512
133,1764562630.3408985,rsa_handshake,0.000416409|0.000065611,0.00,0.00,43696128,43696128,512
134,1764562630.3653355,rsa_handshake,0.000424434|0.000063688,0.00,0.00,43696128,43696128,512
135,1764562630.386719,rsa_handshake,0.000433881|0.000067454,0.00,0.00,43696128,43696128,512
136,1764562630.4078279,rsa_handshake,0.000414465|0.000036087,0.00,0.00,43696128,43696128,512
137,1764562630.4486246,rsa_handshake,0.000360295|0.000036046,0.00,0.00,43696128,43696128,512
138,1764562630.470111,rsa_handshake,0.000471351|0.000047087,0.00,0.00,43696128,43696128,512
139,1764562630.5001743,rsa_handshake,0.000449911|0.000038862,0.00,1791.30,43696128,43696128,512
140,1764562630.535039,rsa_handshake,0.000459519|0.000076722,0.00,0.00,43696128,43696128,512
141,1764562630.5868568,rsa_handshake,0.000259349|0.000038190,0.00,0.00,43696128,43696128,512
142,1764562630.6371408,rsa_handshake,0.000280248|0.000041146,0.00,0.00,43696128,43696128,512
143,1764562630.6632144,rsa_handshake,0.000608224|0.000095557,0.00,0.00,43696128,43696128,512
144,1764562630.694698,rsa_handshake,0.000233171|0.000038682,0.00,0.00,43696128,43696128,512
